18522 28384
1964 13205 29373
14079 12587 8515
9226 13842 26651
290 2375 2078
8816 18272 1165
4742 12664 30107
12 16712 5025
657 1205 22486
2241 1469 2742
6165 1560 5292
4659 14030 19302
2252 15356 31974
14308 4460 13387
9891 10927 18435
17912 14457 17714
18154 12221 28439
12048 10901 22559
12486 8188 25208
17548 18143 678
7705 2595 10542
9625 9162 11144
14280 13980 19039
500 12497 20122
18107 9384 16438
8014 2601 23896
13400 13870 28911
961 4888 13497
18335 2864 5647
6641 5920 20761
16909 3366 25330
3927 14840 20314
5096 168 29494
8392 16787 30343
2246 16663 24237
4376 16159 1952
3470 7136 5078
577 14349 31058
2735 18416 6930
15097 17457 9171
15758 11617 29711
11828 463 17684
5617 4099 11300
4093 3336 16385
7563 473 26502
6780 17987 6544
1267 122 12457
10216 1847 3280
1750 4800 18477
1841 4195 11053
1369 1481 13590
4367 8649 28838
3556 9299 18515
596 6612 2994
18225 16067 30646
4665 9646 26363
15224 4493 13293
14559 3785 22338
9238 9271 31261
4353 5586 14845
1546 1088 11558
6040 4293 24985
37 4269 3020
896 15247 29285
451 4280 12325
11726 575 24455
12299 5810 14884
11524 18172 6552
608 5782 27166
15920 2043 18605
18084 8696 20880
11306 3549 10752
7972 4282 12187
8702 3740 28023
10336 8799 23533
10458 2405 18860
632 6029 7691
6461 18219 32089
15385 2765 18493
11440 15860 11046
4029 2662 13451
462 2602 31053
4963 8583 10124
9332 1267 12436
14716 1682 28659
2083 11791 20108
11358 1327 11041
8625 2530 11538
16153 14844 13860
7275 18476 5515
1795 15942 20456
211 4031 24654
1417 3619 7312
3228 7054 12600
14648 15963 25375
612 860 2148
9257 17145 22025
8175 17614 19061
2459 1007 19519
12370 7949 9723
15159 10442 21454
1031 3113 25557
3931 10291 18477
3241 2458 20128
14947 4580 26066
2634 8294 405
10988 7661 417
6197 12860 10594
4155 1 26190
5161 14771 8669
2298 2351 13014
1320 8329 29101
3161 910 15498
18463 18 311
14660 5955 15474
14468 11673 7275
12364 8683 17128
16327 2818 26447
15447 2367 23991
14300 11515 31576
9511 16708 23601
7458 4137 30700
5323 2613 31211
5837 16770 31397
3165 13639 17443
5843 10190 17454
7997 15443 5892
13315 704 21713
16407 279 26426
12408 12384 6153
7037 99 407
11138 443 22722
15761 10325 19901
2475 12983 16386
1465 906 16898
4870 864 7722
449 17994 26124
8385 11814 17191
11533 4954 20183
10965 9260 17432
12199 17017 14888
5082 18398 19796
10668 15079 10380
6579 2814 5597
14166 14624 23682
16508 6446 17827
12865 6780 19041
2614 1970 12833
117 5430 6152
13609 18306 19763
14122 18014 7312
6413 8042 4165
6793 14378 12141
13461 4707 8734
12651 10699 21435
17205 7310 32762
16661 9782 14264
12453 652 8884
8981 12833 27026
16746 4690 32545
6580 573 23055
7139 12723 27900
1723 3448 6851
1138 7243 485
17356 12080 2244
12648 11099 22123
17199 6218 5670
17645 10294 2327
7040 396 29600
9272 17772 14310
17705 13671 18728
5169 798 8905
12194 4789 18286
9301 12680 18934
16855 2946 30072
6426 8728 12589
2790 5863 1227
8149 15599 3401
12332 6387 31728
17568 12806 5039
6617 6827 31276
14496 15192 31601
15562 1 2245
4662 11104 3664
3513 6948 11568
16793 13515 31703
7363 5230 3314
6844 10028 2884
3354 15135 16167
13917 8537 22784
11216 13107 12513
5841 6128 4815
15823 2776 6369
3047 9807 12804
6464 8403 11355
2314 3890 5468
4392 10512 27067
4687 9855 9290
6323 7578 12209
8754 8637 25566
3476 6464 17895
6099 545 10632
4412 12352 18987
13215 2691 29291
439 10990 28667
15729 13472 26106
6342 1633 31152
4561 1180 16662
15411 2405 6589
2569 10908 25314
14203 1030 20407
14344 2844 1804
1851 3366 10284
18294 5524 28991
591 13594 22381
14960 122 31729
5440 5441 18129
2238 3379 12497
5922 16162 10535
15484 10441 23420
3761 14066 22087
6733 3041 30540
3013 3663 22281
7805 6546 32593
7945 4031 520
11621 10356 5082
15096 6431 7927
14814 11094 11038
17806 12033 2426
8531 8492 10966
9983 2946 3516
1928 6193 26360
17591 718 2105
11878 9313 9671
10137 597 32632
1936 6428 1014
2353 4745 18854
8357 15009 29594
10155 1845 10575
10436 8162 9999
16344 2736 29615
898 1833 5412
2329 13969 6222
16398 15129 30256
15072 9151 5344
5221 15557 12759
13785 9188 20896
14736 15034 17313
14775 12408 25002
1817 16073 12482
6524 4530 32754
4302 12264 21401
6940 1991 11506
3640 16528 4558
6023 2879 23075
4573 15752 6175
15463 15696 26588
9591 16250 822
12784 2679 12080
17989 11318 32547
12787 13397 13529
16658 559 28487
13580 5110 17246
14959 14705 11996
317 16111 23022
1184 18338 32346
4796 5170 27304
2867 15207 19556
699 14069 7750
14718 17348 18702
11732 7173 3178
17871 4093 10384
564 13804 24314
15043 402 14024
2989 12962 31822
2476 15617 28437
17640 18283 26399
9610 3224 17519
1174 12951 21623
14341 8182 13272
14431 7852 22289
14112 17026 12132
1414 14674 15596
9180 7188 31380
4049 8983 9982
3541 15475 16576
6058 16168 19526
9228 12898 5298
18403 15068 4277
11572 10207 13521
17088 16855 28061
7618 514 29028
16476 11526 27823
17424 86 31446
13038 2689 30639
1911 4960 15363
17813 14207 20062
12205 6793 18680
9931 15218 24914
5587 201 25770
18049 7016 27572
11653 11837 16524
12357 13379 16155
7329 14151 28435
15257 15826 7158
3650 12916 7815
14239 14277 30286
9052 12215 9136
13312 3187 31171
9405 17144 13377
8522 4441 20745
6331 16231 32525
6772 10270 29791
1368 9967 9326
8570 18073 24492
7011 5825 31589
169 3975 23620
3544 7200 8280
14992 473 21387
3531 11870 4226
16100 7136 14058
4532 4769 8545
14543 6577 16086
15392 18347 1497
18091 13170 26069
4256 11878 23225
6421 17760 26055
14823 15264 29413
539 8157 27872
14394 11978 24411
17184 4472 3342
16393 7148 2498
17134 5345 25544
3318 1795 14413
16474 4390 29049
1363 2198 2062
10508 7848 24315
6221 2463 26391
13224 11186 21735
2328 7838 27132
16024 2172 23458
18413 16427 4228
228 2740 19566
5721 8353 15289
1486 6949 31468
2348 7716 19351
16092 17896 15306
12905 18416 9475
249 14380 6300
13709 106 20688
16281 10459 10761
12428 17726 2822
11444 15399 2261
1366 12380 1440
1707 17743 23412
7063 13718 25721
18046 18084 2339
8324 4375 8233
2728 985 23743
16146 13886 7161
1737 2489 12493
13809 9863 24378
7390 684 27508
15000 2613 7332
10586 914 27738
11877 15504 4745
1467 18482 26525
2441 9564 25849
4934 11537 20577
10645 1630 28466
15208 5957 15024
16789 8077 15343
326 12335 20373
563 13555 27760
13916 12357 24511
8581 2987 25683
17581 2754 8207
12183 2097 9369
10008 211 30943
7131 3384 27238
16602 10741 23518
14050 8422 30303
9092 7040 7640
13623 13671 26551
6717 17341 10444
2399 1539 25157
13558 2589 20494
80 17259 22845
14653 13443 29553
11536 7271 24670
16458 10371 16303
17512 15025 25527
14630 3241 2429
13401 3612 10829
15593 163 19997
1294 10128 8776
731 18059 8002
17132 14622 13688
4406 6483 31133
635 12641 23373
7341 17790 3200
3377 1001 22927
7807 10117 7745
16707 13536 14209
5872 7759 19572
8893 9521 24380
11265 13984 14354
16435 17822 22356
16039 1693 3362
15 17855 29483
7923 14431 4738
1085 10250 25223
15598 7922 23009
2445 14050 14653
5570 15819 4368
4604 7900 28172
14974 11016 11560
6841 12489 31751
11772 15679 32060
4471 12424 21532
6280 1786 30103
16114 3940 13457
14283 2989 1453
18096 2475 23192
1165 16254 23112
11290 9113 26188
14464 16904 23200
13989 15483 17317
16693 5250 19031
3066 10835 2899
18112 18225 5011
2213 10442 9346
2681 14725 9135
2618 12909 3301
4807 9683 18994
12526 331 7851
9275 12695 32022
1182 14349 1058
18369 11016 5762
17284 16018 22323
4890 8865 24443
7792 8238 16133
4154 3133 22603
17008 10320 18526
11987 3899 31358
15779 2117 17826
15808 10657 31178
13737 10851 18814
7870 1008 8256
1335 17542 23456
1764 17107 6039
5725 6004 26895
16420 17529 5229
10585 7413 14840
4902 8730 14803
13764 13594 29972
17316 15703 31366
15294 16628 31983
15252 4064 2709
17739 12106 19891
11511 6569 28530
14444 557 592
12143 423 13719
8942 607 24079
9698 8924 6727
14048 15737 13294
16700 4031 23836
16609 18401 22373
13650 15257 16469
9611 15283 31321
1681 1624 20516
16657 4461 2665
531 10824 10355
13787 15978 21471
8061 2136 28115
7650 4674 31458
2658 276 22926
7229 17118 19398
12506 14151 25117
2141 3753 2436
17426 5816 110
7547 4496 19911
2165 6387 10165
1610 5848 20493
5888 5620 2250
16533 9240 4557
5013 4426 31544
15697 16477 2978
12503 9253 13710
10639 7131 7150
17476 13406 11157
253 463 12651
13198 4997 17515
1806 14377 3241
16259 1539 29631
14164 10577 2412
3573 12038 26784
3314 13970 15713
5909 1911 18838
4387 13555 27558
15461 6279 10503
1854 18056 25881
7425 1157 19986
16329 6004 31598
6572 4426 28002
14941 1945 16753
3261 12824 19120
14040 10010 32012
1342 16490 18150
16973 13019 32737
1472 11635 26657
17953 2414 8599
13510 7871 16392
17153 18440 25396
16916 14178 2609
9918 4052 25871
14817 3684 16263
1062 10690 24902
16596 14356 31988
11701 3762 23227
1946 5496 19130
724 6829 13569
17149 2270 24375
16499 14678 965
17955 5955 13082
8213 2268 8340
17904 985 30245
3744 12020 3091
7787 12239 31506
7376 12662 23542
533 12448 22072
9007 12366 2407
18137 3951 32261
5653 12482 27546
14493 14085 3427
11395 17167 6329
11793 1080 10144
10233 2514 23411
6121 16855 14973
18200 701 30164
4646 1837 18017
15964 10687 6699
1484 6271 15855
429 6800 26927
12115 18353 17767
10867 9313 28831
5960 18057 28576
1561 6898 10253
4500 7722 22908
5 3018 20893
2535 17360 1568
3126 493 727
266 3436 28000
18371 14008 32224
4297 4344 6932
16185 3801 32184
13731 13770 22871
5026 6483 14411
6158 4845 30945
2401 2863 12154
8700 752 12788
2343 5511 1637
23 1477 7579
7238 4541 671
8155 9309 14887
4591 514 14612
11052 16300 7983
10957 4841 13507
2219 16909 17540
9633 14019 14750
6433 6647 23759
7160 3360 12337
10187 7176 4054
18138 11036 22236
18295 14882 10654
13000 13275 7107
3319 9271 27363
11374 1387 3776
1989 7845 23708
6138 10128 15614
6481 4426 11137
10997 7056 4104
9105 6128 29139
6648 15963 2157
5757 6063 17625
17523 13934 28739
9537 5086 10434
8440 11815 31805
15345 14892 2297
7207 10291 20997
13062 9461 19465
12481 17683 8473
8201 11579 24992
17889 2949 30566
18319 6173 3670
1480 10798 19783
11269 11138 3141
3625 17591 31936
11489 17971 10383
6654 14329 1539
3014 13323 9576
13268 1364 14248
13684 3713 9536
15950 2766 6939
12361 7683 3868
14326 2298 30252
18052 11587 1350
2357 15405 22731
10557 6001 32468
14240 8926 6735
6567 6903 10684
17816 17766 27610
10892 775 15981
17847 6847 19905
8538 16324 12070
11401 1101 21493
15654 1929 27772
646 10427 18915
342 3380 9691
13958 10581 75
9806 5830 18394
2649 4627 28666
5638 12482 21431
5338 3140 29289
16358 15209 21100
3141 16861 11697
14503 16417 27393
4613 3869 855
9132 1379 22326
5717 17295 27092
2201 1896 25242
14362 13603 9970
10943 1696 8098
15506 8055 30026
8072 7649 23399
1694 253 18827
15265 3509 25612
13418 2924 15444
6773 9679 16128
12583 10213 9153
7572 10883 17298
12578 1216 13316
3833 269 921
3482 7012 8347
8969 10774 20250
9844 1925 16383
16868 9092 16687
12639 746 12776
1185 3751 29603
14843 6237 3190
8721 14204 1014
3420 7428 11995
1056 16613 20432
17944 4922 6241
17106 6240 2051
15542 2212 6369
1147 15778 16561
997 17088 27646
6603 2791 18997
14228 16122 25286
13835 9126 12755
13194 1465 14217
17577 2926 6760
15931 2197 5639
6284 18476 31883
9656 2654 22077
8041 14906 6877
16749 4982 29305
4223 10247 25214
4749 8660 29066
17884 6481 22755
18288 158 25626
10282 12810 28532
8802 9229 16535
10600 7338 27337
14830 2429 27446
15083 12205 20062
4787 6964 8186
14343 18259 16136
7855 4416 21182
13833 2465 23972
10462 4814 32181
1221 5032 2220
16912 15126 20708
5048 1525 3764
3617 8724 21876
17753 575 29955
14417 5988 28154
11658 9330 23751
9119 224 14597
10535 599 5769
12267 1448 19852
1901 18020 26356
17027 12497 8472
2192 5948 12562
12311 13954 13755
7289 12839 31099
5573 4759 567
9172 1124 21304
13618 7204 28892
2815 16583 4682
2150 16133 25095
1123 16357 26887
12826 6193 25937
10086 13536 11475
15975 17615 26816
8246 3908 13286
8884 7497 32678
15233 16256 24850
2038 8721 10986
4179 2246 21449
16020 6755 19182
11517 4665 8665
5952 9618 10073
9375 2835 19860
7539 15590 21343
5917 12332 9821
921 4270 13674
3683 8112 15057
2919 11630 12076
2795 285 19205
16093 15129 24447
8526 14982 3733
17754 16942 18850
13779 8270 30065
8825 14743 26039
7991 16286 7087
11742 10784 19590
12551 2202 18377
15566 18300 25842
126 17739 18450
472 12639 17325
6808 6952 12104
9282 9526 24068
8553 14740 6532
5501 7493 22236
16531 3804 6663
12544 2628 6455
1404 11357 1928
15525 10518 13793
1818 13078 24590
4780 16114 8711
7982 17761 16008
1268 15883 4849
14327 9616 11160
14777 2259 22296
13042 18025 16454
14713 4265 18244
13935 5221 27813
9868 12739 19067
5908 3376 3460
4419 12797 32238
3656 17969 9157
267 14165 28194
4533 12199 17650
6036 7979 256
5637 3668 4130
17440 7896 18592
17369 16787 25431
6391 9166 1247
13649 6325 3279
5529 9218 11812
9118 10323 4355
7602 7432 3555
11633 8755 10575
7282 13755 14775
14582 5863 10355
10326 7879 19507
4199 15790 18792
1083 11287 693
13796 5795 25158
922 12285 2527
11992 9071 22569
11904 5791 19081
15470 2479 21087
3865 1272 1854
18245 9782 23097
15369 9938 7852
2387 2377 8795
270 4220 24970
12245 11617 27490
3889 2510 10975
5859 18269 13621
2006 3837 24505
16890 2391 29533
2159 3132 14247
1313 17937 8247
5446 5017 16797
12257 5250 7647
9274 1818 4361
16913 8959 9507
1270 2890 27967
1228 2820 25059
11342 11886 20871
13668 4775 6561
3757 13044 5751
4091 15570 9272
6354 184 19802
14291 9979 26604
7755 6707 15567
2518 1094 16718
16305 1389 6640
7423 17526 5304
9235 6212 7065
14618 6328 2621
6460 6001 28072
2990 2654 30309
11929 17954 26702
483 685 278
15933 3512 21452
5882 16362 2410
1787 4831 31530
14910 3360 24685
8951 12240 28878
5124 12700 3579
10222 13444 15876
13301 16543 14886
17557 729 21191
1865 4946 23292
13928 1187 32114
11381 13323 14719
15222 17763 2604
16339 14636 4650
12992 11585 30749
18437 1539 21598
9022 15486 1746
1198 1626 8582
7297 16491 18528
15552 6185 30684
5695 3470 29988
17400 12069 15877
611 13969 1064
5953 11549 31760
13824 8426 6050
7312 8797 17270
15771 2314 12039
4026 13156 27424
8 2723 22684
1519 4082 9651
654 16252 23193
13250 13627 26501
10484 14131 4144
15592 10504 24331
16744 5675 4379
6721 4529 15774
17620 8997 14977
12152 3083 2030
6877 6036 26184
6015 10959 27768
2571 7751 6712
10232 14941 985
2060 8558 19062
3782 635 12763
14558 16689 832
15588 13957 28548
15406 17779 31730
3007 7103 26008
13538 972 18876
905 12553 15434
12460 10337 12952
9191 9431 12304
6540 14420 4428
3301 13279 9432
11207 15202 25013
1734 18295 26632
717 3125 30849
16688 3735 26393
2954 6036 11296
8398 8885 9131
5361 14741 23709
7386 564 28512
11583 8492 26262
3968 839 18656
14462 18067 12687
3984 14218 24790
16636 1452 17494
9926 8549 10445
2739 8747 10798
11708 9132 10022
12404 9013 2557
9962 18059 29355
9927 18319 11444
14248 10880 32103
9335 11873 25250
3694 12221 2507
9816 5236 20348
15726 6132 5705
4731 11192 13109
15740 6554 2792
18098 1030 23039
6845 8536 20867
7892 15192 2068
1065 4674 3247
10027 15962 1548
9902 4278 10876
13094 14622 30959
11008 12472 26508
11934 4858 32071
8597 3987 19512
18074 18102 7901
220 2565 4278
17422 6847 20196
17262 16057 30340
5205 725 30909
6840 2758 21629
3602 14457 22947
13617 11216 8292
11262 294 22994
2650 4189 31698
14572 6590 26126
3510 6730 956
3699 17399 16026
13657 18184 10518
12022 9649 27889
5562 1372 32317
8877 3617 9198
4849 51 30759
14715 638 17946
17336 5848 29586
1093 5647 15455
18215 3761 11688
3635 10558 15186
11012 12391 7371
10562 11898 8142
8599 602 400
1440 12731 15259
18175 10226 28937
12859 11466 20813
16741 7188 20725
2540 921 10923
13526 2505 4971
7804 2768 14133
17412 12741 17177
16815 1382 2215
2013 13711 29239
15085 12080 24968
12946 14869 11701
11473 16250 28195
9194 8721 844
14381 5913 14984
3729 3114 17540
9746 8772 6234
12908 15048 18887
15390 16926 32151
15456 16155 24595
10049 6844 425
12265 13884 4340
7374 13080 4177
16585 1927 26567
5057 15898 16977
2744 7923 2166
5730 8926 6631
12138 10789 11054
18436 7957 13677
6961 630 11706
12421 13506 29886
4010 5928 13962
14256 12357 7729
1516 9343 11928
17820 35 22088
13320 13401 28315
5202 10588 18788
6867 16707 12618
14846 13237 18721
7431 1044 32683
7551 1781 26400
9358 3384 11666
12399 14558 21868
8113 13626 27615
885 2777 6343
11999 4180 17191
3458 11587 29551
14529 12258 17596
1641 16470 28488
2260 6501 14687
12952 11992 9325
2660 15017 23544
7940 5195 21907
7500 9011 5154
1210 13494 19908
3579 14444 30594
10515 6859 9049
16718 10197 27150
6852 13955 12870
11762 18090 21715
14876 16904 21512
6814 2925 26598
7042 6887 9691
16840 6157 1910
3736 8262 7686
17562 10892 11584
14748 12664 22359
14086 13928 32469
384 3137 26156
494 10515 28270
11121 169 19608
16848 8715 16198
18520 5511 19333
11307 15211 1964
13784 11289 27876
9864 14206 6741
16287 12415 18247
9892 17775 28043
11973 1071 13696
11092 14833 29266
16510 14544 7442
2696 7656 9885
17043 4741 29844
18494 7500 21790
5965 453 5991
5410 13054 14945
2232 11006 9790
15006 5264 31281
12728 6382 19562
5551 17308 16753
8376 1862 20468
12660 10641 28655
11156 6658 26331
12042 14165 745
18145 181 30238
14598 9932 1068
13061 1239 12114
11361 6485 19225
16740 3987 2035
2037 4144 13308
872 14941 20922
12682 12790 26478
11550 6197 23955
14973 9011 11968
18230 15224 6928
14773 6092 29598
17627 17400 9318
11244 5744 14445
5615 8566 11099
5460 11018 25618
9642 6783 21939
14005 3080 30494
1336 4453 22510
13002 12568 31128
11032 12578 4995
11481 15044 30684
12297 12526 14813
2283 3340 2633
9249 8243 1976
4123 10184 30380
16548 5699 9404
5714 17059 19383
2282 11157 8552
469 7939 13786
17075 489 414
4383 12779 2650
2404 5238 19582
5207 7205 28804
18182 16195 19021
16947 14628 31292
16717 3080 32660
5196 14401 13417
2932 1686 8390
16634 4360 3299
6626 14164 15370
17045 182 12018
15004 15987 16119
13692 15805 30847
235 15931 23658
103 4835 14720
16507 4623 15036
13022 16881 23636
15862 5225 19711
9952 8181 12536
5454 5440 23062
3844 8804 11880
7810 13169 2739
3654 16796 25740
6764 12415 29613
8548 7724 24176
7710 10449 1065
13414 2348 10187
1932 9144 6023
15061 695 23032
5481 12679 14619
12923 5126 21483
15459 1352 31754
16891 10774 24018
11467 4311 13300
3104 1766 17493
17334 349 27439
974 8635 16576
8914 4130 14769
11255 5929 6770
6788 12715 11272
3367 2517 9060
288 17248 19444
10280 12453 21684
17875 78 9332
9138 17395 12647
11391 15459 22889
8286 13884 1254
4435 6614 12064
4833 8324 24551
16993 5570 14429
11400 6919 12727
5162 14626 25024
18358 517 21798
4088 758 18331
1488 1569 12164
16729 10961 16271
14127 11621 25968
10788 11167 20874
18470 13603 31846
17960 18259 5124
1899 13487 20813
15890 16833 3460
9341 3521 27516
2146 5645 29141
16839 7829 12519
2666 1343 23416
1763 15864 11129
17919 1249 4656
17337 7991 14525
14301 938 5570
17597 15589 29807
7529 8700 4152
17832 5207 17289
4165 13534 5450
8686 5636 26845
7978 7091 15550
3231 2747 19822
3716 1691 17370
4047 16528 30199
14230 16405 1600
6145 13522 19557
3418 10197 22724
6850 3539 16181
17923 218 12582
9115 9526 4585
1973 11321 7092
11844 7390 24862
6686 15011 23611
8793 10959 8673
18196 977 18898
3035 1784 5972
14829 8574 3433
5509 597 10957
4726 12206 31004
13046 2842 4579
6211 429 17080
15348 18347 2868
3710 18470 5633
16274 6220 1478
10292 11069 17289
4711 11473 4172
1360 4934 22336
9183 9207 17594
4520 6536 11790
9581 10857 23018
2898 5795 17411
2635 9068 26695
5518 12035 32012
933 1398 4013
2279 18162 10295
17093 336 23562
15798 2602 469
7410 13988 21350
2115 12241 4909
12025 1162 21320
2922 11462 3711
8594 3753 7369
4003 619 15478
8164 30 30128
713 7053 19561
11068 11587 27225
9819 6336 27386
15199 14162 20335
2418 7810 31471
14670 8427 29584
3043 8073 14938
11884 16021 20601
6792 2181 4716
15498 3659 18510
6547 2851 23176
8117 419 26389
14635 5725 1904
11960 11580 2436
16005 18163 9635
16436 16622 425
3121 882 10818
5797 4808 10016
12461 2141 10264
18238 4003 968
7771 13705 24216
15178 14609 20283
15892 1964 30453
16811 8320 31353
15339 18464 10133
6993 8011 31360
5274 6245 28816
15052 10130 7113
4449 17526 17411
8307 17479 16863
15601 11995 17240
2398 10628 23954
17740 18030 22225
16415 14710 26994
12001 13587 22266
7134 15675 12173
15835 9375 22479
4527 13648 19631
7958 5166 29623
15055 996 9366
3142 7649 18599
5298 5797 6095
7521 1545 17412
2103 15589 5950
10376 5977 27166
16465 12364 31357
9592 16985 3171
2963 5981 5526
16298 16079 28044
13864 17661 16322
17665 18478 13696
9248 7195 8249
2544 17287 24217
6020 10909 30512
16063 17657 1166
10620 996 2202
13611 6195 16697
4916 1345 6989
16991 12022 7652
1012 559 31375
10138 14030 8170
14271 1530 24898
5325 14395 11731
12924 12183 32030
16169 9156 1579
14237 7551 7619
13343 4445 21449
2256 4445 30343
14180 3035 9023
12146 17221 27457
3655 685 11179
482 7511 32657
671 891 4387
6310 6953 32078
8416 1152 4462
3409 10287 4632
1671 6294 31692
7397 3979 19792
13265 5367 31479
17139 5882 24279
7303 16231 9381
7172 4629 3177
11109 1338 1076
6198 13190 22130
7346 9794 32327
10477 3965 1701
12699 4524 2426
15524 11140 12742
14909 2650 23674
14098 5343 25444
6285 1742 27681
8978 3203 1396
9622 15562 29804
14186 17750 28426
1850 7172 23902
4408 14416 11435
8677 12715 10544
14225 4567 23013
13636 16909 19296
13591 4282 5940
2291 16101 24697
9060 13034 6238
1517 3865 19629
7883 9864 18116
8196 15750 23446
11142 13944 20579
9639 8347 9661
4797 4081 1917
6908 1239 20657
12783 5426 19
2379 624 17623
9334 6562 12229
4686 1087 16451
14796 305 18859
14334 7521 20523
9772 14960 29514
14376 16977 17114
16365 4262 4272
5006 9343 8753
8360 2136 5461
5133 461 19215
6027 15852 21598
3961 5315 20544
5357 1417 1614
4718 3546 6081
16376 13558 29519
8514 8253 6001
3464 5714 14480
14051 15199 21142
7496 5579 17519
9137 17999 19382
2340 6042 14446
8232 9208 5811
15197 7633 12575
2121 16129 9525
6309 2323 21381
7920 17568 23482
9197 1343 15527
12471 11349 2026
5686 12583 23363
17663 5954 260
11398 3042 9441
6493 7405 8572
17859 990 20151
13561 6972 29984
82 13439 2082
16209 14982 31070
12592 16719 30619
3970 17992 13706
15121 2189 15468
7954 1292 20266
14657 10600 18078
9748 11672 8879
6826 2965 17362
5155 4737 25401
15847 532 31478
6055 234 25633
13035 11754 2602
8223 5717 1414
583 16634 24870
4301 2528 22806
7669 12276 22521
15925 6040 1732
1948 7297 13579
12409 15856 20775
5823 16993 9883
9659 2119 26556
11825 17640 29485
8535 4082 2374
2163 10699 16817
6480 2565 25324
1965 14468 9539
12975 17140 10495
301 5513 25039
16041 7957 11358
17304 8721 30215
17915 5041 15346
12145 2312 11366
2665 7511 965
10311 15371 6203
11435 15027 25488
5934 5572 17646
10004 7109 29917
7736 6217 19707
13973 539 15636
14100 3647 23384
1761 18155 25091
14565 4406 5444
3123 9177 14276
1975 4003 25522
8247 15956 13587
10702 14299 23237
5698 16875 22377
14757 16596 25371
3937 1171 21121
18039 5948 7141
7473 2758 7948
8852 14568 32234
13137 11980 10938
6971 332 26388
13542 12299 8178
4055 18209 13081
8098 11070 1468
5731 4381 12629
17654 2796 26841
2111 6612 28919
5387 2766 25844
6258 12335 21515
6687 4588 20851
10682 16857 28429
221 15209 5975
10039 14164 15875
12663 16028 24098
5245 11566 31056
1916 9615 23491
5959 10025 9154
1505 11207 14325
12053 14544 6280
16335 13369 11671
14319 16308 15120
6655 4928 29923
17156 169 17408
14281 14550 6032
17658 494 19908
8010 18 11334
16697 7777 2158
4305 12328 10470
2302 7370 12242
13365 1511 5017
14911 1538 20516
7489 14395 26791
4250 4302 25745
13852 6799 8053
8918 5551 14456
10877 14051 25426
13933 9931 32593
9869 15289 25801
17510 16063 8304
15362 3372 11958
258 10637 2844
13801 18378 13913
1922 17000 23729
13712 13710 13
445 12491 1483
5143 16020 14969
14641 11089 15529
12631 1330 12372
15442 5393 14924
5197 2230 29962
16311 5293 19707
12549 11320 19180
7061 16508 1586
5262 10718 436
7993 14119 811
4947 7023 630
11046 777 22141
5606 10954 31332
9570 11542 16009
8004 15217 10218
3466 6356 26538
8585 10171 17928
7 6414 19042
14642 16461 32761
5341 17262 5374
7469 201 19337
12446 6138 19813
11937 11344 4773
17709 11839 17166
13735 8549 17673
13231 8025 21074
15681 2336 20766
8589 18333 12690
9181 14140 12126
4335 2947 21994
2161 8466 11742
13498 13534 16491
15226 13301 4558
6097 6996 1554
8237 11598 775
15487 9967 29681
15611 12664 6667
2750 7819 7752
3034 16476 25339
14357 14319 17537
8936 13965 18544
784 7931 3403
5878 2997 12093
11110 15622 1350
16194 10415 10365
3917 18453 20485
12601 6667 4487
11377 1449 28231
15415 13749 20880
6100 5134 11707
8410 1097 13099
5223 18048 5553
6905 17418 11237
88 2314 16760
8748 6405 20142
12982 743 25702
13020 15380 13776
8919 10465 31926
7985 1806 30626
6060 497 20933
2570 11978 17721
10579 1254 3918
601 12414 13507
16486 16721 29370
840 11156 343
2183 161 24738
5950 13775 18517
14315 6100 10249
9434 17897 4272
9687 17999 1544
17335 14911 17084
4616 2892 30678
5444 5409 14160
11527 834 25208
17543 8031 15196
16550 6348 24184
11906 13243 24904
6889 16073 23417
10618 12827 19378
15373 734 8831
15235 8756 21865
6154 10764 20296
14330 7282 10419
10370 3466 30723
15474 17616 3137
17496 18321 14410
11293 12030 30308
16664 12588 32559
10830 5088 26454
8984 17976 10675
12988 6185 12730
15725 16022 27148
2029 970 17569
6532 15114 4471
2920 4445 19635
11051 14212 21906
11420 11801 10829
2994 2435 27505
15738 718 22709
15296 16957 8683
2228 9952 1713
3338 5013 20945
11397 8536 23334
13529 2067 22025
4432 14570 16522
7286 17378 5835
12187 4419 10315
9217 14428 23147
12638 5079 4989
13304 9702 21373
11323 9863 24677
14103 11813 5932
7272 10050 29899
10695 18154 6176
9294 9088 27402
12211 4581 16716
8170 14973 31829
1504 13293 10609
18251 15890 3264
9968 14959 25410
7263 18271 3539
2214 3744 30562
10178 1267 29407
1878 16024 27841
14924 8453 15952
3308 2796 14588
11421 5051 20903
2488 9011 21961
8255 11992 12777
13426 13487 22935
13791 11359 28832
2856 14007 8433
144 1904 28102
10452 17335 9021
11056 8664 16689
9073 6612 18674
3727 17331 23128
14950 13315 21083
7508 11670 23428
11509 7854 25975
2605 7472 29139
11567 1492 32425
6148 7997 32152
10552 10178 4900
7689 1313 22254
16618 3339 1371
3357 5006 26791
17704 9178 27364
18105 17001 20442
5858 3037 24712
9070 5463 14521
15724 3606 5238
105 7403 24959
16806 15205 6105
17652 15406 4745
16186 18331 16442
7615 7834 1789
4596 15386 13942
7291 221 17303
7614 11312 5176
16468 2428 16738
306 17184 29229
13424 1663 12429
9441 3806 22641
14551 16153 31655
7706 14884 28644
14898 5061 11735
6306 17665 28265
806 7581 32496
